"","mean.diff","mean.1","mean.2","t","df","p.val","p.val.adj","description","cell.up","ligand.up","receptor.in.path","ligand.in.path"
"Regulation.of.blood.pressure",0.144546230443593,0.0512212428509364,-0.0933249875926567,21.828537365322,412.626772395636,8.78571409135486e-71,1.88538744661972e-70,"Regulation of blood pressure","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Npy"
"Cell.death",0.0311434095375151,-0.0712691173782694,-0.102412526915785,8.41719176445232,428.955075548858,5.8218274730756e-16,6.93409922730286e-16,"Cell death","6;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Rhob;Hspa1b;Kcnk2"
"Cell.population.proliferation",0.107964999738865,0.0337042198919949,-0.0742607798468697,31.3274304591011,397.85546852111,1.86135773318762e-109,7.86882990210219e-109,"Cell population proliferation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Kcnk2;Prdx4"
"Positive.regulation.of.cell.population.proliferation",0.072704169929541,0.0263515020295425,-0.0463526678999985,19.3252049938518,384.578398124374,1.23738708280633e-58,2.15721464878626e-58,"Positive regulation of cell population proliferation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Negative.regulation.of.cell.population.proliferation",0.1353554571043,0.0473810528951013,-0.0879744042091991,30.6054164054615,403.673688145178,3.02077906991758e-107,1.21447648321176e-106,"Negative regulation of cell population proliferation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Kcnk2;Prdx4"
"Gonad.development",0.350277107123954,0.251217687915684,-0.0990594192082704,42.7079018446884,371.487784315246,2.19031142647777e-145,2.39717417231178e-144,"Gonad development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Prdx4"
"Epidermis.development",0.0980187584715654,0.051403359145257,-0.0466153993263084,14.6658394067947,382.058838403529,6.02799854999377e-39,8.71891126540948e-39,"Epidermis development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Male.gonad.development",0.284811039316953,0.237272333529461,-0.0475387057874926,36.4956447333345,391.452545262191,4.69182836292133e-128,3.02055616828596e-127,"Male gonad development","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Prdx4"
"Catabolic.process",0.0200576692676304,-0.102827180880227,-0.122884850147858,5.37417816986957,499.510460757682,1.182389704912e-07,1.32347029470263e-07,"Catabolic process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Hspa1b;Stbd1;Dact1"
"Biosynthetic.process",0.126915973615034,-0.00180753449798085,-0.128723508113015,28.748833648822,387.994922519893,3.55928895355608e-98,1.18043758223998e-97,"Biosynthetic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Kcnk2"
"Macromolecule.biosynthetic.process",0.11519281324095,0.0119972434699734,-0.103195569770977,25.6954652633316,380.816611791188,3.51354334576624e-85,9.66715138430097e-85,"Macromolecule biosynthetic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Kcnk2"
"Protein.secretion",-0.0200301980079257,-0.0640694052137797,-0.044039207205854,-3.40085819715623,435.079861158171,0.000733770410157266,0.000783059430124493,"Protein secretion","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Response.to.external.stimulus",-0.0475786723330497,-0.151178746916099,-0.103600074583049,-14.1506773192,426.413143845929,1.53004947100487e-37,2.18737115956429e-37,"Response to external stimulus","6;10;15;6;9;10;14;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Ccl8;Kcnk2;Gbp6;Npy"
"Response.to.biotic.stimulus",-0.121315771598303,-0.237691245984094,-0.116375474385791,-24.3711360423257,398.053420924438,6.07816923878153e-81,1.53907370185085e-80,"Response to biotic stimulus","6;10;15;6;9;10;14;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Ccl8;Gbp6;Npy"
"Response.to.wounding",0.264955107785063,0.123097032978775,-0.141858074806288,52.4730039779455,442.311653938328,4.71240673952123e-192,3.57055433725263e-190,"Response to wounding","6","Dkk3","Lgals1","Kcnk2"
"Response.to.bacterium",-0.125867137556497,-0.251716520369273,-0.125849382812776,-24.7517014860467,391.166339255453,4.58667027173594e-82,1.18579270804722e-81,"Response to bacterium","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Gbp6;Npy"
"Response.to.abiotic.stimulus",0.159297018464425,0.0533156316116513,-0.105981386852774,31.6190315207225,416.416325355186,9.67393396922073e-113,4.39116357589052e-112,"Response to abiotic stimulus","6;10;15;10;15","Hspa1b;Hspa1b;Hspa1b;Sema6a;Sema6a","Gata6;Gata6;Gata6;Kcnk3;Kcnk3","Rhob;Hspa1b;Kcnk2"
"Anatomical.structure.morphogenesis",0.224917725396487,0.116393247722456,-0.108524477674031,43.9431391919251,396.527968805546,1.79061788761616e-154,3.39184349865753e-153,"Anatomical structure morphogenesis","6;10;15;2;3;4;6;6;11;6","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1","Itga8;Rhob;Ccl8;Dact1"
"Response.to.endogenous.stimulus",0.197093745716256,0.114896644356369,-0.0821971013598866,43.8142561369108,417.599109638085,2.89485441983221e-158,7.7065719014452e-157,"Response to endogenous stimulus","6;10;15;2;3;4;6;6;11;10;15","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1","Itga8"
"Response.to.hormone",0.115322435256978,0.0235750886412761,-0.0917473466157015,24.1688451910497,422.705680613983,1.1031882633772e-81,2.82979281100663e-81,"Response to hormone","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Response.to.carbohydrate",0.299769848348639,0.13217407950348,-0.167595768845159,38.1012250444444,411.240174804929,5.49918608835173e-137,4.6695674974366e-136,"Response to carbohydrate","6","Dkk3","Lgals1",NA
"Response.to.hexose",0.337579548688122,0.170142018882215,-0.167437529805907,35.5055306798457,405.785306670129,1.53149892684571e-126,9.19833196916479e-126,"Response to hexose","6","Dkk3","Lgals1",NA
"Response.to.glucose",0.386290295542876,0.233598596354674,-0.152691699188202,40.1505620013765,402.351075781263,8.24567751815742e-143,8.37318799524233e-142,"Response to glucose","6","Dkk3","Lgals1",NA
"Embryo.development",0.252288977611614,0.162033512740757,-0.0902554648708573,39.5439331936119,375.927117812646,5.17698781655975e-136,4.145799186432e-135,"Embryo development","6;10;15;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Dact1"
"Embryo.development.ending.in.birth.or.egg.hatching",0.176715205151864,0.135856839468915,-0.0408583656829491,26.9590301285243,373.752114431658,1.13695959302503e-89,3.33305118788587e-89,"Embryo development ending in birth or egg hatching","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Dact1"
"Animal.organ.morphogenesis",0.280941752344587,0.243515035995924,-0.0374267163486637,45.881970043078,371.550371499134,3.97742494966478e-155,8.33566718174427e-154,"Animal organ morphogenesis","6;10;15;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Dact1"
"Tissue.development",0.27835710193531,0.183524255015473,-0.0948328469198367,52.4641759890585,376.718285665299,2.88804615762347e-175,1.89648364350608e-173,"Tissue development","6;10;15;1;10;15;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Rhob;Dact1;Kcnk2"
"Regulation.of.biosynthetic.process",0.0938865639549194,-0.0210351384748159,-0.114921702429735,24.2760977727848,391.42991398985,4.39443583355917e-80,1.09860895838979e-79,"Regulation of biosynthetic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Kcnk2"
"Negative.regulation.of.biosynthetic.process",0.13949861179861,0.0112000536496736,-0.128298558148936,24.4919758414039,392.684281232619,4.41887088394203e-81,1.1246996952669e-80,"Negative regulation of biosynthetic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Dkk3;Dact1;Kcnk2"
"Positive.regulation.of.biosynthetic.process",0.0851499346567334,-0.0101284048312125,-0.0952783394879459,19.2430004348549,380.288986753239,4.14149502415825e-58,7.16937187837589e-58,"Positive regulation of biosynthetic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Negative.regulation.of.metabolic.process",0.0877182016780654,-0.0250988341602332,-0.112817035838299,25.8599558483054,391.322280807003,1.05557112872221e-86,2.97919072146526e-86,"Negative regulation of metabolic process","6;10;15;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3;Hspa1b;Dact1;Kcnk2"
"Positive.regulation.of.metabolic.process",0.0591278284546891,-0.0752040200525657,-0.134331848507255,18.4219680427528,412.462001171774,9.8525970313021e-56,1.67036283577153e-55,"Positive regulation of metabolic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Hspa1b;Dact1"
"Regulation.of.catabolic.process",0.1256072307241,-0.0367636805613831,-0.162370911285483,22.7003040975391,387.872992987909,3.44746417738634e-73,7.71761866983078e-73,"Regulation of catabolic process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Hspa1b;Dact1"
"Negative.regulation.of.catabolic.process",-0.126870362586792,-0.161028915330376,-0.0341585527435842,-17.7168709546386,418.863921817271,8.04923471448284e-53,1.31702594580824e-52,"Negative regulation of catabolic process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Epidermal.cell.differentiation",0.175954553041452,0.100685299351727,-0.0752692536897251,19.2278542305712,391.949627585888,1.64455394553987e-58,2.86198875681408e-58,"Epidermal cell differentiation","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Hormone.transport",-0.113944596776972,-0.0123444960151885,0.101600100761783,-21.0476682075553,414.12986568337,2.09462383099472e-67,4.16808984551474e-67,"Hormone transport","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Regulation.of.signal.transduction",0.0962368027772587,-0.0212610325205644,-0.117497835297823,31.3844676622759,407.424933504788,8.83232551105905e-111,3.81571957385665e-110,"Regulation of signal transduction","6;10;15;1;10;15;2;3;4;6;6;11;10;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1","Dkk3;Itga8;Ccl8;Dact1"
"Positive.regulation.of.signal.transduction",0.0510231996331302,-0.060947166599789,-0.111970366232919,17.6470560334321,448.922617931022,2.52932999528803e-53,4.15924882363725e-53,"Positive regulation of signal transduction","6;10;15;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Ccl8;Dact1"
"Negative.regulation.of.signal.transduction",0.161301895942145,0.0621113435197543,-0.0991905524223911,32.8013652489635,373.802385387387,4.58255345046829e-112,2.06110280763071e-111,"Negative regulation of signal transduction","1;10;15;10;15","Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2","Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1","Dkk3;Dact1"
"Cellular.process",0.159195876929902,0.0333518399985268,-0.125844036931375,41.6084870850039,396.475599965516,9.8282449242437e-147,1.16636400606989e-145,"Cellular process","6;10;15;6;1;10;15;6;9;10;14;15;2;3;4;6;6;11;10;15;6;6;6;8;10;11;15;10;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a;Dkk3","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3;Lgals1","Dkk3;Itga8;Rhob;Ccl8;Hspa1b;Stbd1;Sult5a1;Dact1;Kcnk2;Prdx4;Gbp6;Macf1;Npy"
"Response.to.extracellular.stimulus",0.124057809169227,0.0307201797942492,-0.0933376293749779,22.1185560875215,446.781755816891,9.25988673409202e-74,2.08241745047503e-73,"Response to extracellular stimulus","6;9;10;14;15;6;6;8;10;11;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","C2;C2;C2;C2;C2;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Npy"
"Response.to.organic.substance",0.122271257493387,0.0127397013933897,-0.109531556099997,36.4731942242815,444.797619096725,9.23161673580039e-136,7.21677974981221e-135,"Response to organic substance","6;10;15;2;3;4;6;6;11;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Ccl8;Hspa1b;Gbp6"
"Response.to.organonitrogen.compound",0.168314129610058,0.0563120587132878,-0.11200207089677,30.7801993380694,439.792819063858,9.06061484745797e-112,4.05668437488459e-111,"Response to organonitrogen compound","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Gene.expression",0.0614285757927023,-0.06591719812449,-0.127345773917192,19.2365502886413,421.301837446955,1.20963356999786e-59,2.13146523514829e-59,"Gene expression","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Prdx4"
"Regulation.of.gene.expression",0.0456236174905991,-0.0769393547142177,-0.122562972204817,14.4379189150475,422.85656527737,1.06693515295695e-38,1.5386985734445e-38,"Regulation of gene expression","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1"
"Regulation.of.macromolecule.biosynthetic.process",0.0945922896189956,-0.00622511548302084,-0.100817405102016,22.739303677764,383.818370505264,4.14707399450335e-73,9.26273896731473e-73,"Regulation of macromolecule biosynthetic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Dkk3;Itga8;Dact1;Kcnk2"
"Positive.regulation.of.macromolecule.biosynthetic.process",0.105075623478605,0.0124389194096926,-0.0926367040689127,22.4403812315689,382.304892164829,9.30476126994399e-72,2.03219287159531e-71,"Positive regulation of macromolecule biosynthetic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Negative.regulation.of.macromolecule.biosynthetic.process",0.115708403980243,-0.00491052411189881,-0.120618928092142,20.2704086697011,394.236297234425,4.17897189952665e-63,7.88560789470067e-63,"Negative regulation of macromolecule biosynthetic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6","Dkk3;Dact1;Kcnk2"
"Negative.regulation.of.phosphorus.metabolic.process",0.117170756235432,0.0289780599834161,-0.0881926962520164,20.2744584276426,385.832729729757,9.61657065708615e-63,1.80425182804378e-62,"Negative regulation of phosphorus metabolic process","10;15","Ramp2;Ramp2","Pmepa1;Pmepa1",NA
"Regulation.of.cellular.ketone.metabolic.process",-0.0349604296460843,-0.149778700292714,-0.11481827064663,-4.03242375765029,448.225149119015,6.48769036550569e-05,7.03785794055408e-05,"Regulation of cellular ketone metabolic process","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3"
"Positive.regulation.of.macromolecule.metabolic.process",0.0645435615346118,-0.0622862846711849,-0.126829846205797,20.664206747922,414.609214460321,9.95213403713352e-66,1.94887714246054e-65,"Positive regulation of macromolecule metabolic process","6;10;15;6;2;3;4;6;6;11","Hspa1b;Hspa1b;Hspa1b;Dact1;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Gata6;Gata6;Gata6;Pcbd1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Hspa1b;Dact1"
"Negative.regulation.of.macromolecule.metabolic.process",0.0780502842116616,-0.0341361746381899,-0.112186458849852,22.8229356345546,392.569405766714,5.42373342406307e-74,1.23096253979312e-73,"Negative regulation of macromolecule metabolic process","6;10;15;10;15","Hspa1b;Hspa1b;Hspa1b;Ramp2;Ramp2","Gata6;Gata6;Gata6;Pmepa1;Pmepa1","Dkk3;Hspa1b;Dact1;Kcnk2"
"Positive.regulation.of.gene.expression",-0.0297455806005869,-0.155088788256091,-0.125343207655504,-8.86699730606697,438.164440327821,1.91258606968297e-17,2.30305290787008e-17,"Positive regulation of gene expression","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Negative.regulation.of.gene.expression",0.0308591148677987,-0.0899016509772932,-0.120760765845092,7.22855117311058,441.517302103635,2.16458444842825e-12,2.52620341433866e-12,"Negative regulation of gene expression","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Regulation.of.cell.communication",0.0841820964474473,-0.0166834654256033,-0.100865561873051,29.5164142144314,411.89968503224,1.11352905644335e-103,4.0926347783459e-103,"Regulation of cell communication","6;10;15;1;10;15;2;3;4;6;6;11;10;15;6;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3;Itga8;Ccl8;Dact1"
"Positive.regulation.of.cell.communication",0.0444311951824,-0.0539130335350117,-0.0983442287174118,16.0699784350574,445.390432855944,3.66983569476668e-46,5.59564730548789e-46,"Positive regulation of cell communication","6;10;15;2;3;4;6;6;11;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8;Ccl8;Dact1"
"Negative.regulation.of.cell.communication",0.13560663001276,0.0545682985842755,-0.0810383314284848,29.5000072875739,375.157390768598,8.81016809730067e-100,3.03427118036404e-99,"Negative regulation of cell communication","1;10;15;10;15","Adgrl2;Adgrl2;Adgrl2;Ramp2;Ramp2","Rcan1;Rcan1;Rcan1;Pmepa1;Pmepa1","Dkk3;Dact1"
"Muscle.cell.apoptotic.process",0.0948963505956379,0.120265906875518,0.0253695562798796,10.5960919721972,380.265708536032,3.682876015756e-23,4.63299217818603e-23,"Muscle cell apoptotic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Striated.muscle.cell.apoptotic.process",0.27190723916977,0.177896451103443,-0.0940107880663269,21.6149953939796,373.663143668039,8.52761610439459e-68,1.71773044229625e-67,"Striated muscle cell apoptotic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cardiac.muscle.cell.apoptotic.process",0.225465554766803,0.182668618913385,-0.042796935853418,18.1452394917422,382.571240825792,1.56543950267183e-53,2.57852493333069e-53,"Cardiac muscle cell apoptotic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Regulation.of.muscle.cell.apoptotic.process",0.0948963505956379,0.120265906875518,0.0253695562798796,10.5960919721972,380.265708536032,3.682876015756e-23,4.63299217818603e-23,"Regulation of muscle cell apoptotic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Regulation.of.striated.muscle.cell.apoptotic.process",0.27190723916977,0.177896451103443,-0.0940107880663269,21.6149953939796,373.663143668039,8.52761610439459e-68,1.71773044229625e-67,"Regulation of striated muscle cell apoptotic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Regulation.of.cardiac.muscle.cell.apoptotic.process",0.225465554766803,0.182668618913385,-0.042796935853418,18.1452394917422,382.571240825792,1.56543950267183e-53,2.57852493333069e-53,"Regulation of cardiac muscle cell apoptotic process","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Regulation.of.cell.substrate.adhesion",0.28713555610726,0.124221642533619,-0.162913913573641,36.8280142345858,381.847731591347,9.97051869530976e-128,6.29548776594879e-127,"Regulation of cell-substrate adhesion","6","Dkk3","Lgals1",NA
"Negative.regulation.of.cell.substrate.adhesion",0.343497436797842,0.178616508501528,-0.164880928296314,33.0591484716836,414.250295102773,3.06765255283922e-118,1.53382627641961e-117,"Negative regulation of cell-substrate adhesion","6","Dkk3","Lgals1",NA
"Regulation.of.hormone.levels",0.0298013232639134,0.116400270792723,0.0865989475288096,8.2987503242812,449.706129334937,1.23867533588048e-15,1.46999422390635e-15,"Regulation of hormone levels","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Dkk3"
"Regulation.of.phosphatase.activity",-0.0785744671560862,0.0772933602105107,0.155867827366597,-9.1857863945392,387.420648292659,2.51003043858097e-18,3.04480293350031e-18,"Regulation of phosphatase activity","1;10;15","Adgrl2;Adgrl2;Adgrl2","Rcan1;Rcan1;Rcan1",NA
"Regulation.of.cell.death",0.0493039308344072,-0.0593470908516971,-0.108651021686104,12.4320013375965,437.664839966182,1.34396988720099e-30,1.82343021886085e-30,"Regulation of cell death","6;10;15;6;6;8;10;11;15","Hspa1b;Hspa1b;Hspa1b;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Gata6;Gata6;Gata6;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Rhob;Hspa1b;Kcnk2"
